Word,PartsOfSpeech,Meaning
Halwe,n.,A saint.
Hamel,v. t.,Same as Hamele.
Hanap,n.,"A rich goblet, esp. one used on state occasions."
Hance,v. t.,To raise; to elevate.
Hanch,,See Hanse.
Handy,superl.,Performed by the hand.
Hanse,n.,That part of an elliptical or many-centered arch which has the shorter radius and immediately adjoins the impost.
Han't,,"A contraction of have not, or has not, used in illiterate speech. In the United States the commoner spelling is hain't."
Haply,adv.,"By hap, chance, luck, or accident; perhaps; it may be."
Happy,superl.,"Favored by hap, luck, or fortune; lucky; fortunate; successful; prosperous; satisfying desire; as, a happy expedient; a happy effort; a happy venture; a happy omen."
Hards,n. pl.,The refuse or coarse part of fiax; tow.
Hardy,a.,Bold; brave; stout; daring; resolu?e; intrepid.
Harem,n.,The apartments or portion of the house allotted to females in Mohammedan families.
Harle,n.,The red-breasted merganser.
Harns,n. pl.,The brains.
Harpa,n.,"A genus of marine univalve shells; the harp shells; -- so called from the form of the shells, and their ornamental ribs."
Harpy,n.,"A fabulous winged monster, ravenous and filthy, having the face of a woman and the body of a vulture, with long claws, and the face pale with hunger. Some writers mention two, others three."
Harre,n.,A hinge.
Harry,v. t.,"To strip; to lay waste; as, the Northmen came several times and harried the land."
Harsh,a.,Rough; disagreeable; grating
Haste,n.,"Celerity of motion; speed; swiftness; dispatch; expedition; -- applied only to voluntary beings, as men and other animals."
Hasty,n.,"Involving haste; done, made, etc., in haste; as, a hasty sketch."
Hatch,v. t.,To cross with lines in a peculiar manner in drawing and engraving. See Hatching.
Hated,imp. & p. p.,of Hate
Hatel,a.,Hateful; detestable.
Hater,n.,One who hates.
Hatte,,"pres. &amp; imp. sing. &amp; pl. of Hote, to be called. See Hote."
Haugh,n.,A low-lying meadow by the side of a river.
Haulm,n.,"The denuded stems or stalks of such crops as buckwheat and the cereal grains, beans, etc.; straw."
Hauls,n.,See Hals.
Hault,a.,Lofty; haughty.
Haunt,v. t.,To frequent; to resort to frequently; to visit pertinaciously or intrusively; to intrude upon.
Haven,n.,"A bay, recess, or inlet of the sea, or the mouth of a river, which affords anchorage and shelter for shipping; a harbor; a port."
Haver,n.,A possessor; a holder.
Havoc,n.,Wide and general destruction; devastation; waste.
Hawed,imp. & p. p.,of Haw
Hawse,n.,A hawse hole.
Hazed,imp. & p. p.,of Haze
Hazel,n.,"A shrub or small tree of the genus Corylus, as the C. avellana, bearing a nut containing a kernel of a mild, farinaceous taste; the filbert. The American species are C. Americana, which produces the common hazelnut, and C. rostrata. See Filbert."
Hazle,v. t.,To make dry; to dry.
Heady,a.,Willful; rash; precipitate; hurried on by will or passion; ungovernable.
Heald,n.,A heddle.
Heapy,a.,Lying in heaps.
Heard,imp. & p. p.,of Hear
Heart,n.,"A hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."
Heath,n.,"A low shrub (Erica, / Calluna, vulgaris), with minute evergreen leaves, and handsome clusters of pink flowers. It is used in Great Britain for brooms, thatch, beds for the poor, and for heating ovens. It is also called heather, and ling."
Hoven,,of Heave
Heave,v. t.,"To cause to move upward or onward by a lifting effort; to lift; to raise; to hoist; -- often with up; as, the wave heaved the boat on land."
Heavy,a.,Having the heaves.
Heben,n.,Ebony.
Hedge,n.,"A thicket of bushes, usually thorn bushes; "
Heedy,a.,Heedful.
Hefty,a.,Moderately heavy.
Hegge,n.,A hedge.
Helix,n.,"A nonplane curve whose tangents are all equally inclined to a given plane. The common helix is the curve formed by the thread of the ordinary screw. It is distinguished from the spiral, all the convolutions of which are in the plane."
Hello,interj. & n.,See Halloo.
Helly,a.,Hellish.
Helot,n.,"A slave in ancient Sparta; a Spartan serf; hence, a slave or serf."
Helve,n.,"The handle of an ax, hatchet, or adze."
Hema-,,Same as Haema-.
Hemal,a.,"Relating to the blood or blood vessels; pertaining to, situated in the region of, or on the side with, the heart and great blood vessels; -- opposed to neural."
Hemi-,,A prefix signifying half.
Hemin,n.,"A substance, in the form of reddish brown, microscopic, prismatic crystals, formed from dried blood by the action of strong acetic acid and common salt; -- called also Teichmann's crystals. Chemically, it is a hydrochloride of hematin."
Hemo-,,"Same as Haema-, Haemo-."
Hempy,a.,Like hemp.
Hence,adv.,From this place; away.
Hende,a.,Skillful; dexterous; clever.
Hendy,a.,See Hende.
Henen,adv.,Hence.
Henna,n.,A thorny tree or shrub of the genus Lawsonia (L. alba). 
Henry,n.,"The unit of electric induction; the induction in a circuit when the electro-motive force induced in this circuit is one volt, while the inducing current varies at the rate of one ampere a second."
Hente,imp.,of Hent
Hepar,n.,"Liver of sulphur; a substance of a liver-brown color, sometimes used in medicine"
Hepta,,"A combining form from Gr. ""epta`, seven."
Herby,a.,"Having the nature of, pertaining to, or covered with, herbs or herbage."
women,pl. ,of Herdswoman
Heren,a.,Made of hair.
Herie,v. t.,To praise; to worship.
Herma,n.,"See Hermes, 2."
Herne,n.,A corner.
Heron,n.,"Any wading bird of the genus Ardea and allied genera, of the family Ardeidae."
Herse,n.,"A kind of gate or portcullis, having iron bars, like a harrow, studded with iron spikes. It is hung above gateways so that it may be quickly lowered, to impede the advance of an enemy."
Herte,n.,A heart.
Heugh,n.,A crag; a cliff; a glen with overhanging sides.
Heved,n.,The head.
Hewed,imp.,of Hew
Hewer,n.,One who hews.
Hexad,n.,"An atom whose valence is six, and which can be theoretically combined with, substituted for, or replaced by, six monad atoms or radicals; as, sulphur is a hexad in sulphuric acid. Also used as an adjective."
Hexyl,n.,"A compound radical, C6H13, regarded as the essential residue of hexane, and a related series of compounds."
Heygh,a.,High.
Heyne,n.,A wretch; a rascal.
Hided,imp. & p. p.,of Hide
Hider,n.,One who hides or conceals.
Hying,p. pr. & vb. n.,of Hie
Hiems,n.,Winter.
Hight,n.,A variant of Height.
Hoten,,of Hight
Higre,n.,See Eagre.
Hijra,n.,See Hegira.
Hilal,a.,Of or pertaining to a hilum.
Hilar,a.,Belonging to the hilum.
Hilly,a.,"Abounding with hills; uneven in surface; as, a hilly country."
Hilum,n.,The eye of a bean or other seed; the mark or scar at the point of attachment of an ovule or seed to its base or support; -- called also hile.
Hilus,n.,"Same as Hilum, 2."
Hindi,n.,"The name given by Europeans to that form of the Hindustani language which is chiefly spoken by native Hindoos. In employs the Devanagari character, in which Sanskrit is written."
Hindu,n.,A native inhabitant of Hindostan. As an ethnical term it is confined to the Dravidian and Aryan races; as a religious name it is restricted to followers of the Veda.
Hinge,n.,"The hook with its eye, or the joint, on which a door, gate, lid, etc., turns or swings; a flexible piece, as a strip of leather, which serves as a joint to turn on."
Hinny,v. i.,To neigh; to whinny.
Hipps,n.,"See Hyp, n."
Hippa,n.,Alt. of Hippe
Hippe,n.,"A genus of marine decapod crustaceans, which burrow rapidly in the sand by pushing themselves backward; -- called also bait bug. See Illust. under Anomura."
Hired,imp. & p. p.,of Hire
Hirer,n.,One who hires.
Hires,pron.,Alt. of Hirs
Hitch,v. t.,To become entangled or caught; to be linked or yoked; to unite; to cling.
Hithe,n.,"A port or small haven; -- used in composition; as, Lambhithe, now Lambeth."
Hived,imp. & p. p.,of Hive
Hiver,n.,One who collects bees into a hive.
Hives,n.,The croup.
Hoard,n.,"See Hoarding, 2."
Hoary,a.,White or whitish.
Hobby,n.,"A small, strong-winged European falcon (Falco subbuteo), formerly trained for hawking."
Hobit,n.,"A small mortar on a gun carriage, in use before the howitzer."
Hoboy,n.,A hautboy or oboe.
Hocco,n.,The crested curassow; -- called also royal pheasant. See Curassow.
Hough,n.,"The joint in the hind limb of quadrupeds between the leg and shank, or tibia and tarsus, and corresponding to the ankle in man."
Hocus,v. t.,To deceive or cheat.
Hoddy,n.,"See Dun crow, under Dun, a."
Hoful,a.,Careful; wary.
Hoise,v. t.,To hoist.
Hoist,v. t.,"To raise; to lift; to elevate; esp., to raise or lift to a desired elevation, by means of tackle, as a sail, a flag, a heavy package or weight."
Hoker,n.,Scorn; derision; abusive talk.
Holla,interj.,Hollo.
Hollo,interj. & n.,"Ho there; stop; attend; hence, a loud cry or a call to attract attention; a halloo."
Holly,adv.,Wholly.
Holo-,,"A combining form fr. Gr. ""o`los whole."
Holwe,a.,Hollow.
Homer,n.,A carrier pigeon remarkable for its ability to return home from a distance.
Homo-,,"A combining form from Gr. ""omo`s, one and the same, common, joint."
Honed,imp. & p. p.,of Hone
Honey,n.,"A sweet viscid fluid, esp. that collected by bees from flowers of plants, and deposited in the cells of the honeycomb."
Honor,n.,Esteem due or paid to worth; high estimation; respect; consideration; reverence; veneration; manifestation of respect or reverence.
Hoody,n.,"The hooded crow; also, in Scotland, the hooded gull."
Hoofs,pl. ,of Hoof
Hooky,a.,Full of hooks; pertaining to hooks.
Hoove,n.,"A disease in cattle consisting in inflammation of the stomach by gas, ordinarily caused by eating too much green food; tympany; bloating."
Hoped,imp. & p. p.,of Hope
Hoper,n.,One who hopes.
Hoppo,n.,"A collector of customs, as at Canton; an overseer of commerce."
Horal,a.,"Of or pertaining to an hour, or to hours."
Horde,n.,"A wandering troop or gang; especially, a clan or tribe of a nomadic people migrating from place to place for the sake of pasturage, plunder, etc.; a predatory multitude."
Horny,superl.,Having horns or hornlike projections.
Horse,n.,A hoofed quadruped of the genus Equus; 
Horsy,a.,"Pertaining to, or suggestive of, a horse, or of horse racing; as, horsy manners; garments of fantastically horsy fashions."
Hosen,pl. ,of Hose
Hotel,n.,"A house for entertaining strangers or travelers; an inn or public house, of the better class."
Hotly,a.,"In a hot or fiery manner; ardently; vehemently; violently; hastily; as, a hotly pursued."
Hoult,n.,A piece of woodland; a small wood. [Obs.] See Holt.
Hound,n.,"A variety of the domestic dog, usually having large, drooping ears, esp. one which hunts game by scent, as the foxhound, bloodhound, deerhound, but also used for various breeds of fleet hunting dogs, as the greyhound, boarhound, etc."
Houri,n.,A nymph of paradise; -- so called by the Mohammedans.
Hours,n. pl.,"Goddess of the seasons, or of the hours of the day."
House,n.,"A structure intended or used as a habitation or shelter for animals of any kind; but especially, a building or edifice for the habitation of man; a dwelling place, a mansion."
Houss,n.,A saddlecloth; a housing.
Houve,n.,A head covering of various kinds; a hood; a coif; a cap.
Hovel,n.,"An open shed for sheltering cattle, or protecting produce, etc., from the weather."
Hover,n.,A cover; a shelter; a protection.
Howdy,n.,A midwife.
Howel,n.,"A tool used by coopers for smoothing and chamfering rheir work, especially the inside of casks."
Howso,adv.,Howsoever.
Howve,n.,A hood. See Houve.
Hubby,a.,"Full of hubs or protuberances; as, a road that has been frozen while muddy is hubby."
Hudge,n.,An iron bucket for hoisting coal or ore.
Huffy,a.,"Puffed up; as, huffy bread."
Hulan,n.,See Uhlan.
Hulch,n.,A hunch.
Hulky,a.,Bulky; unwiedly.
Hullo,interj.,See Hollo.
Hully,a.,Having or containing hulls.
Human,a.,"Belonging to man or mankind; having the qualities or attributes of a man; of or pertaining to man or to the race of man; as, a human voice; human shape; human nature; human sacrifices."
Humic,a.,"Pertaining to, or derived from, vegetable mold; as, humic acid. See Humin."
Humid,a.,"Containing sensible moisture; damp; moist; as, a humidair or atmosphere; somewhat wet or watery; as, humid earth; consisting of water or vapor."
Humin,n.,"A bitter, brownish yellow, amorphous substance, extracted from vegetable mold, "
Humor,n.,"Moisture, especially, the moisture or fluid of animal bodies, as the chyle, lymph, etc.; as, the humors of the eye, etc."
Humph,interj.,"An exclamation denoting surprise, or contempt, doubt, etc."
Humpy,a.,Full of humps or bunches; covered with protuberances; humped.
Humus,n.,That portion of the soil formed by the decomposition of animal or vegetable matter. It is a valuable constituent of soils.
Hunch,n.,A hump; a protuberance.
Hunks,n.,"A covetous, sordid man; a miser; a niggard."
Hunte,n.,A hunter.
Hurds,n.,The coarse part of flax or hemp; hards.
Hurly,n.,Noise; confusion; uproar.
Hurra,interj.,"A word used as a shout of joy, triumph, applause, encouragement, or welcome."
Hurry,v. t.,To hasten; to impel to greater speed; to urge on.
Hurst,n.,"A wood or grove; -- a word used in the composition of many names, as in Hazlehurst."
Husky,n.,Abounding with husks; consisting of husks.
Hussy,n.,A housewife or housekeeper.
Hutch,v. t. & i.,"To place in huts; to live in huts; as, to hut troops in winter quarters."
Huzza,interj.,"A word used as a shout of joy, exultation, approbation, or encouragement."
Hyads,n.pl.,"A cluster of five stars in the face of the constellation Taurus, supposed by the ancients to indicate the coming of rainy weather when they rose with the sun."
Hydr-,,See under Hydro-.
Hydra,n.,"A serpent or monster in the lake or marsh of Lerna, in the Peloponnesus, represented as having many heads"
Hyena,n.,"Any carnivorous mammal of the family Hyaenidae, of which three living species are known. They are large and strong, but cowardly. They feed chiefly on carrion, and are nocturnal in their habits."
Hylic,a.,"Of or pertaining to matter; material; corporeal; as, hylic influences."
Hymar,n.,The wild ass of Persia.
Hymen,n.,A fold of muscous membrane often found at the orifice of the vagina; the vaginal membrane.
Hyoid,a.,"Having the form of an arch, or of the Greek letter upsilon [/]."
Hypo-,,"A prefix signifying a less quantity, or a low state or degree, of that denoted by the word with which it is joined, or position under or beneath."
Hyrax,n.,"Any animal of the genus Hyrax, of which about four species are known. "
Hyrse,n.,Millet.
Hyrst,n.,A wood. See Hurst.
Hyson,n.,A fragrant kind of green tea.
Hythe,n.,A small haven. See Hithe.</BODY></HTML>
Iambi,pl. ,of Iambus
Jabot,n.,"Originally, a kind of ruffle worn by men on the bosom of the shirt."
Jacob,n.,"A Hebrew patriarch (son of Isaac, and ancestor of the Jews), who in a vision saw a ladder reaching up to heaven (Gen. xxviii. 12); -- also called Israel."
Jaded,imp. & p. p.,of Jade
Jager,n.,A sharpshooter. See Yager.
Jaggy,a.,"Having jags; set with teeth; notched; uneven; as, jaggy teeth."
Jaina,n.,"One of a numerous sect in British India, holding the tenets of Jainism."
Jakes,n.,A privy.
Jakie,n.,"A South American striped frog (Pseudis paradoxa), remarkable for having a tadpole larger than the adult, and hence called also paradoxical frog."
Jalap,n.,"The tubers of the Mexican plant Ipomoea purga (or Exogonium purga), a climber much like the morning-glory. "
Jantu,n.,"A machine of great antiquity, used in Bengal for raising water to irrigate land."
Janty,a.,See Jaunty.
Janus,n.,A Latin deity represented with two faces looking in opposite directions. 
Japan,n.,"Work varnished and figured in the Japanese manner; also, the varnish or lacquer used in japanning."
Japer,n.,A jester; a buffoon.
Jards,n.,"A callous tumor on the leg of a horse, below the hock."
Jarvy,n.,The driver of a hackney coach.
Jasey,n.,"A wig; -- so called, perhaps, from being made of, or resembling, Jersey yarn."
Jaunt,v. i.,To ramble here and there; to stroll; to make an excursion.
Javel,n.,A vagabond.
Jawed,imp. & p. p.,of Jaw
Jayet,n.,See Jet.
Jazel,n.,A gem of an azure color.
Jears,n. pl.,See 1st Jeer (b).
Jeers,n. pl.,See 1st Jeer (b).
Jelly,n.,"Anything brought to a gelatinous condition; a viscous, translucent substance in a condition between liquid and solid; a stiffened solution of gelatin, gum, or the like."
Jemmy,a.,Spruce.
Jenny,n.,A familiar or pet form of the proper name Jane.
Jerid,n.,Same as Jereed.
Jerky,a.,"Moving by jerks and starts; characterized by abrupt transitions; as, a jerky vehicle; a jerky style."
Jesse,n.,"Any representation or suggestion of the genealogy of Christ, in decorative art"
Jesus,n.,"The Savior; the name of the Son of God as announced by the angel to his parents; the personal name of Our Lord, in distinction from Christ, his official appellation."
Jetty,a.,"Made of jet, or like jet in color."
Jewel,n.,"An ornament of dress usually made of a precious metal, and having enamel or precious stones as a part of its design."
Jewry,n.,"Judea; also, a district inhabited by Jews; a Jews' quarter."
Jibed,imp. & p. p.,of Jibe
Jiffy,n.,"A moment; an instant; as, I will be ready in a jiffy."
Jimmy,n.,A short crowbar used by burglars in breaking open doors.
Jingo,n.,A word used as a jocular oath.
Jippo,n.,A waistcoat or kind of stays for women.
Joint,n.,The place or part where two things or parts are joined or united;
Joist,n.,"A piece of timber laid horizontally, or nearly so, to which the planks of the floor, or the laths or furring strips of a ceiling, are nailed; "
Joked,imp. & p. p.,of Joke
Joker,n.,One who makes jokes or jests.
Jolif,a.,Joyful; merry; pleasant; jolly.
Jolly,superl.,Full of life and mirth; jovial; joyous; merry; mirthful.
Jolty,a.,"That jolts; as, a jolty coach."
Jonah,n.,"The Hebrew prophet, who was cast overboard as one who endangered the ship; hence, any person whose presence is unpropitious."
Joram,n.,See Jorum.
Jorum,n.,"A large drinking vessel; also, its contents."
Jossa,interj.,"A command to a horse, probably meaning ""stand still."""
Jougs,n.,"An iron collar fastened to a wall or post, formerly used in Scotland as a kind of pillory. [Written also juggs.] See Juke."
Joule,n.,"A unit of work which is equal to 107 units of work in the C. G. S. system of units (ergs), "
Joust,v. i.,"To engage in mock combat on horseback, as two knights in the lists; to tilt."
Joyed,imp. & p. p.,of Joy
Jubae,pl. ,of Juba
Judas,n.,The disciple who betrayed Christ. Hence: A treacherous person; one who betrays under the semblance of friendship.
Judge,v. i.,"A public officer who is invested with authority to hear and determine litigated causes, and to administer justice between parties in courts held for that purpose."
Jugal,a.,"Relating to a yoke, or to marriage."
Juger,n.,"A Roman measure of land, measuring 28,800 square feet, or 240 feet in length by 120 in breadth."
Juggs,n. pl.,See Jougs.
Jugum,n.,One of the ridges commonly found on the fruit of umbelliferous plants.
Juice,n.,"The characteristic fluid of any vegetable or animal substance; the sap or part which can be expressed from fruit, etc.; the fluid part which separates from meat in cooking."
Juicy,superl.,A bounding with juice; succulent.
Juise,n.,Judgment; justice; sentence.
Julep,n.,A refreshing drink flavored with aromatic herbs
Julus,n.,A catkin or ament. See Ament.
Junco,n.,"Any bird of the genus Junco, which includes several species of North American finches; -- called also snowbird, or blue snowbird."
Junos,pl. ,of June
Junta,n.,"A council; a convention; a tribunal; an assembly; esp., the grand council of state in Spain."
Junto,n.,"A secret council to deliberate on affairs of government or politics; a number of men combined for party intrigue; a faction; a cabal; as, a junto of ministers; a junto of politicians."
Jupon,n.,Alt. of Juppon
Jural,a.,Pertaining to natural or positive right.
Jurat,n.,"A person under oath; specifically, an officer of the nature of an alderman, in certain municipal corporations in England."
Jurel,n.,"A yellow carangoid fish of the Atlantic and Gulf coasts (Caranx chrysos), "
Juror,n.,A member of a jury; a juryman.
Jussi,n.,"A delicate fiber, produced in the Philippine Islands from an unidentified plant, of which dresses, etc., are made."
Jutes,n. pl.,"Jutlanders; one of the Low German tribes, a portion of which settled in Kent, England, in the 5th century."
Jutty,n.,"A projection in a building; also, a pier or mole; a jetty."
Juvia,n.,A Brazilian name for the lofty myrtaceous tree (Bertholetia excelsa) which produces the large seeds known as Brazil nuts.
Kaama,n.,The hartbeest.
Kabob,n. & v. t.,"See Cabob, n. &amp; v. t."
Kafal,n.,"The Arabian name of two trees of the genus Balsamodendron, which yield a gum resin and a red aromatic wood."
Kafir,n.,"One of a race which, with the Hottentots and Bushmen, inhabit South Africa."
Kahau,n.,"A long-nosed monkey (Semnopithecus nasalis), native of Borneo. "
Kalan,n.,The sea otter.
Kalif,n.,See Caliph.
Kalki,n.,The name of Vishnu in his tenth and last avatar.
Kalpa,n.,"One of the Brahmanic eons, a period of 4,320,000,000 years. At the end of each Kalpa the world is annihilated."
Kapia,n.,The fossil resin of the kauri tree of New Zealand.
Karma,n.,One's acts considered as fixing one's lot in the future existence. (Theos.) The doctrine of fate as the inflexible result of cause and effect; the theory of inevitable consequence.
Karob,n.,The twenty-fourth part of a grain; -- a weight used by goldsmiths.
Kauri,n.,"A lofty coniferous tree of New Zealand Agathis, / Dammara, australis), furnishing valuable timber and yielding one kind of dammar resin."
Kayak,n.,"A light canoe, made of skins stretched over a frame,"
Kayko,n.,The dog salmon.
Kecky,a.,Resembling a kecksy.
Kedge,n.,"To move (a vessel) by carrying out a kedge in a boat, dropping it overboard, and hauling the vessel up to it."
Keech,n.,A mass or lump of fat rolled up by the butcher.
Keels,n. pl.,Ninepins. See Kayles.
Keesh,n.,See Kish.
Keeve,n.,A vat or tub in which the mash is made; a mash tub.
Kelpy,n.,"An imaginary spirit of the waters, horselike in form, vulgarly believed to warn, by preternatural noises and lights, those who are to be drowned."
Kempt,,of Kemb
Kempe,a.,Rough; shaggy.
Kemps,n. pl.,The long flower stems of the ribwort plantain (Plantago Lanceolata).
Kerse,n.,A cress.
Kerve,v. t.,To carve.
Kesar,n.,See Kaiser.
Ketch,n.,"An almost obsolete form of vessel, with a mainmast and a mizzenmast, -- usually from one hundred to two hundred and fifty tons burden."
Ketol,n.,"One of a series of series of complex nitrogenous substances, represented by methyl ketol and related to indol."
Kevel,n.,A strong cleat to which large ropes are belayed.
Kevin,n.,The gazelle.
Kever,v. t. &,i. To cover.
Keved,imp. & p. p.,of Key
Keyed,a.,"Furnished with keys; as, a keyed instrument; also, set to a key, as a tune."
Khaya,n.,"A lofty West African tree (Khaya Senegalensis), related to the mahogany, which it resembles in the quality of the wood. The bark is used as a febrifuge."
Kiang,n.,The dziggetai.
Kibed,a.,Chapped; cracked with cold; affected with chilblains; as kibed heels.
Kidde,imp.,of Kythe.
Kiddy,v. t.,To deceive; to outwit; to hoax.
Kieve,n.,"See Keeve, n."
Kilos,pl. ,of Kilo
Label,n.,A tassel.
Labia,n. pl.,See Labium.
Labor,n.,Physical toil or bodily exertion
Labra,pl. ,of Labrum
Labri,pl. ,of Labrus
Laced,imp. & p. p.,of Lace
Lache,n.,Neglect; negligence; remissness; neglect to do a thing at the proper time; delay to assert a claim.
Ladde,obs. imp.,"of Lead, to guide."
Laded,imp.,of Lade
Laden,p. & a.,"Loaded; freighted; burdened; as, a laden vessel; a laden heart."
Ladin,n.,A Romansch dialect spoken in some parts of Switzerland and the Tyrol.
Ladle,v. t.,"A cuplike spoon, often of large size, with a long handle, used in lading or dipping."
Lafte,,imp. of Leave.
Lagan,n. & v.,See Ligan.
Lager,n.,Lager beer.
Lagly,adv.,Laggingly.
Laird,n.,"A lord; a landholder, esp. one who holds land directly of the crown."
Laism,n.,See Lamaism.
Laity,a.,"The people, as distinguished from the clergy; the body of the people not in orders."
Lakao,n.,Sap green.
Lakin,n.,See Ladykin.
Lakke,n. & v.,See Lack.
Lamed,imp. & p. p.,of Lame
Lamel,n.,See Lamella.
Lames,n. pl.,Small steel plates combined together so as to slide one upon the other and form a piece of armor.
Lamia,n.,"A monster capable of assuming a woman's form, who was said to devour human beings or suck their blood; a vampire; a sorceress; a witch."
Lance,n.,"A weapon of war, consisting of a long shaft or handle and a steel blade or head; a spear carried by horsemen, and often decorated with a small flag; also, a spear or harpoon used by whalers and fishermen."
Lanch,v. t.,"To throw, as a lance; to let fly; to launch."
Lanky,a.,Somewhat lank.
Lapel,n.,"That part of a garment which is turned back; specifically, the lap, or fold, of the front of a coat in continuation of collar."
Lapis,n.,A stone.
Lapps,n. pl.,"A branch of the Mongolian race, now living in the northern parts of Norway, Sweden, and the adjacent parts of Russia."
Lapse,n.,"A gliding, slipping, or gradual falling; an unobserved or imperceptible progress or passing away,; -- restricted usually to immaterial things, or to figurative uses."
Lares,pl. ,of Lar
Larch,n.,"A genus of coniferous trees, having deciduous leaves, in fascicles (see Illust. of Fascicle)."
Lardy,a.,"Containing, or resembling, lard; of the character or consistency of lard."
Large,superl.,"Exceeding most other things of like kind in bulk, capacity, quantity,"
Largo,a. & adv.,"Slow or slowly; -- more so than adagio; next in slowness to grave, which is also weighty and solemn."
Larry,n.,"Same as Lorry, or Lorrie."
Larum,n.,"See Alarum, and Alarm."
Larva,n.,"Any young insect from the time that it hatches from the egg until it becomes a pupa, or chrysalis. D"
Larve,n.,A larva.
Lasse,a. & adv.,Less.
Lasso,n.,"A rope or long thong of leather with, a running noose, used for catching horses, cattle, etc."
Laste,obs. imp.,"of Last, to endure."
Latch,v. t.,To smear; to anoint.
Lated,a.,Belated; too late.
Later,n.,A brick or tile.
Lates,n.,"A genus of large percoid fishes, of which one species (Lates Niloticus) inhabits the Nile, and another (L. calcarifer) is found in the Ganges and other Indian rivers. They are valued as food fishes."
Latex,n.,"A milky or colored juice in certain plants in cavities (called latex cells or latex tubes). It contains the peculiar principles of the plants, whether aromatic, bitter, or acid, and in many instances yields caoutchouc upon coagulation."
Laths,pl. ,of Lath
Lathe,n.,"Formerly, a part or division of a county among the Anglo-Saxons. At present it consists of four or five hundreds, and is confined to the county of Kent."
Lathy,a.,Like a lath; long and slender.
Latin,a.,"Of or pertaining to Latium, or to the Latins, a people of Latium; Roman; as, the Latin language."
Laton,n.,Alt. of Latoun
Laugh,v. i.,"To show mirth, satisfaction, or derision, by peculiar movement of the muscles of the face, particularly of the mouth,"
Laund,n.,A plain sprinkled with trees or underbrush; a glade.
Laura,n.,A number of hermitages or cells in the same neighborhood occupied by anchorites who were under the same superior.
Laved,imp. & p. p.,of Lave
Laver,n.,A vessel for washing; a large basin.
Lavic,a.,See Lavatic.
Lawer,n.,A lawyer.
Lawnd,n.,See Laund.
Lawny,a.,Having a lawn; characterized by a lawn or by lawns; like a lawn.
Laxly,adv.,In a lax manner.
Layer,n.,"One who, or that which, lays."
Lazar,n.,A person infected with a filthy or pestilential disease; a leper.
Lazed,imp. & p. p.,of Laze
Leach,n.,See 3d Leech.
Leady,a.,Resembling lead.
Leafy,superl,"Full of leaves; abounding in leaves; as, the leafy forest."
Leaky,superl.,"Permitting water or other fluid to leak in or out; as, a leaky roof or cask."
Leant,,of Lean
Leany,a.,Lean.
Leapt,,of Leap
Learn,v. t.,"To gain knowledge or information of; to ascertain by inquiry, study, or investigation; "
Lease,v. i.,To gather what harvesters have left behind; to glean.
Leash,n.,"A thong of leather, or a long cord, by which a falconer holds his hawk, or a courser his dog."
Least,a.,"Smallest, either in size or degree; shortest; lowest; most unimportant; as, the least insect; the least mercy; the least space."
Leasy,a.,Flimsy; vague; deceptive.
Leave,v. i.,To send out leaves; to leaf; -- often with out.
Leavy,a.,Leafy.
Leban,n.,Alt. of Lebban
Leche,n.,"See water buck, under 3d Buck."
Leden,n.,Alt. of Ledden
Ledge,n.,"A shelf on which articles may be laid; also, that which resembles such a shelf in form or use, as a projecting ridge or part, or a molding or edge in joinery."
Ledgy,a.,"Abounding in ledges; consisting of a ledge or reef; as, a ledgy island."
Leech,n.,See 2d Leach.
Leede,n.,A caldron; a copper kettle.
Leeme,v. & n.,See Leme.
Leere,n.,Tape or braid; an ornament.
Leese,v. t.,To lose.
Leful,a.,See Leveful.
Legal,a.,"Created by, permitted by, in conformity with, or relating to, law; as, a legal obligation; a legal standard or test; a legal procedure; a legal claim; a legal trade; anything is legal which the laws do not forbid."
Leger,n.,"Anything that lies in a place; that which, or one who, remains in a place."
Legge,v. t.,To lay.
Leggy,a.,Having long legs.
Leman,n.,"A sweetheart, of either sex; a gallant, or a mistress; -- usually in a bad sense."
Lemma,n.,"A preliminary or auxiliary proposition demonstrated or accepted for immediate use in the demonstration of some other proposition, as in mathematics or logic."
Lemon,n.,"An oval or roundish fruit resembling the orange, and containing a pulp usually intensely acid."
Lemur,n.,"One of a family (Lemuridae) of nocturnal mammals allied to the monkeys, but of small size, and having a sharp and foxlike muzzle, and large eyes."
Lends,n. pl.,Loins.
Lento,a. & adv.,Slow; in slow time; slowly; -- rarely written lente.
Lepal,n.,A sterile transformed stamen.
Lepas,n.,"Any one of various species of Lepas, a genus of pedunculated barnacles found attached to floating timber, bottoms of ships, Gulf weed, etc.; -- called also goose barnacle. See Barnacle."
Leper,n.,A person affected with leprosy.
Lepid,a.,Pleasant; jocose.
Lepra,n.,Leprosy.
Lepre,n.,Leprosy.
Lepry,n.,Leprosy.
Lered,v. t.,Learned.
Lerot,n.,"A small European rodent (Eliomys nitela), allied to the dormouse."
Letch,v. & n.,See Leach.
Leten,,p. p. of Lete.
Lethe,n.,Death.
Lethy,a.,Lethean.
Lette,v. t.,"To let; to hinder. See Let, to hinder."
Letts,n. pl.,"An Indo-European people, allied to the Lithuanians and Old Prussians, and inhabiting a part of the Baltic provinces of Russia."
Leuc-,,Same as Leuco-.
Leuke,n.,Alt. of Leukeness
Levee,n.,The act of rising.
